 db  | insee |   id    |    cea     |                         name                          | l5_insee | delta 
-----+-------+---------+------------+-------------------------------------------------------+----------+-------
 RAN | 33001 |  580295 | 330012222G | LIEU DIT LAUBARDEMONT                                 | 33001    | -
 RAN | 33001 |  580296 | 330012222H | LIEU DIT LE BREUILLET                                 | 33001    | -
 RAN | 33001 |  580333 | 330012223S | CITE CLAIRS LOGIS                                     | 33001    | -
 RAN | 33001 | 3431634 | 330012224N | LOTISSEMENT CHAMPS DES ARNAUDS                        | 33001    | -
 RAN | 33001 | 4173242 | 33001223GG | CHEMIN DES TREILLES                                   | 33001    | -
 RAN | 33001 | 4190442 | 33001223HR | LIEU DIT CHOISY                                       | 33001    | -
 RAN | 33001 | 4190444 | 33001223HT | LIEU DIT LA GARE                                      | 33001    | -
 RAN | 33001 | 4240316 | 33001223IU | CHEMIN DES MULETS                                     | 33001    | -
 RAN | 33001 | 4246989 | 33001223IY | IMPASSE DES FELLONNEAUX                               | 33001    | -
 RAN | 33001 | 4246996 | 33001223L2 | LE BREUILLET OUEST                                    | 33001    | -
 RAN | 33001 | 4375262 | 33001223NZ | RUE DES TERRES JAUNES                                 | 33001    | -
 RAN | 33001 | 4375289 | 33001223P2 | RUE DES HILLAIRES                                     | 33001    | -
 RAN | 33001 | 4377526 | 33001223P3 | RUE DE LA CROIX DES HILLAIRES                         | 33001    | -
 RAN | 33001 | 4381227 | 33001223RC | LIEU DIT LE PRE DE PIRON                              | 33001    | -
 RAN | 33001 | 4381228 | 33001223RE | LIEU DIT BAS DU PETIT PIRON                           | 33001    | -
 RAN | 33001 | 4424190 | 33001223U2 | LIEU DIT LES SAUZES                                   | 33001    | -
 RAN | 33002 |  580357 | 3300222229 | BOIS MAJOU                                            | 33002    | -
 RAN | 33002 |  580359 | 330022222B | CHAMP DES MACONS                                      | 33002    | -
 RAN | 33002 |  580398 | 330022223U | LIEU DIT CERE                                         | 33002    | -
 RAN | 33002 |  580399 | 330022223V | CHALET                                                | 33002    | -
 RAN | 33002 |  580402 | 330022223Z | CHATEAU DE VERDUZAN                                   | 33002    | -
 RAN | 33002 |  580409 | 330022224A | LIEU DIT DENIS                                        | 33002    | -
 RAN | 33002 |  580426 | 330022224Y | LIEU DIT LE BARRAIL                                   | 33002    | -
 RAN | 33002 |  580441 | 330022226L | LIEU DIT MARCIS                                       | 33002    | -
 RAN | 33002 |  580450 | 330022226X | LIEU DIT PITRON                                       | 33002    | -
 RAN | 33002 |  580452 | 330022226Z | LIEU DIT PURGUETTE                                    | 33002    | -
 RAN | 33002 |  580472 | 330022227S | LIEU DIT LES MACONS                                   | 33002    | -
 RAN | 33002 | 2843040 | 3300222299 | LA LEBE                                               | 33002    | -
 RAN | 33002 | 2843178 | 330022229A | LA ROSERAIE                                           | 33002    | -
 RAN | 33002 | 2843612 | 330022229B | LE MOULIN                                             | 33002    | -
 RAN | 33002 | 2847921 | 330022229E | RESIDENCE LOUIS ROUSSEAU                              | 33002    | -
 RAN | 33002 | 2911341 | 330022229G | LIEU DIT LA GRANGEOTTE                                | 33002    | -
 RAN | 33002 | 4335447 | 33002222XM | HAMEAU DE LA BASSANNE                                 | 33002    | -
 RAN | 33002 | 4343015 | 33002222Y9 | LIEU DIT LANOT                                        | 33002    | -
 RAN | 33002 | 4343016 | 33002222YA | LIEU DIT ROUX                                         | 33002    | -
 RAN | 33002 | 4385041 | 33002222Z6 | AVENUE DE BOUHEBEN                                    | 33002    | -
 RAN | 33002 | 4472330 | 3300222322 | ZONE ARTISANALE BOIS MAJOU SUD                        | 33002    | -
 RAN | 33003 |  580497 | 330032222H | RUE JEAN MOULIN                                       | 33003    | -
 RAN | 33003 |  580502 | 330032222N | CHATEAU DU GUA                                        | 33003    | -
 RAN | 33003 |  580522 | 330032223B | CHEMIN PICON                                          | 33003    | -
 RAN | 33003 |  580527 | 330032223H | CLOS DES BLANDATS                                     | 33003    | -
 RAN | 33003 |  580528 | 330032223I | CLOS CHAUVET                                          | 33003    | -
 RAN | 33003 |  580530 | 330032223M | RUE DU DOMAINE D HOSTEIN                              | 33003    | -
 RAN | 33003 |  580538 | 330032223V | IMPASSE PAGE                                          | 33003    | -
 RAN | 33003 |  580547 | 3300322242 | LIEU DIT CHAUVET                                      | 33003    | -
 RAN | 33003 |  580562 | 330032224E | RUE DES GOBOLES                                       | 33003    | -
 RAN | 33003 |  580563 | 330032224G | LIEU DIT LES JAUGUES                                  | 33003    | -
 RAN | 33003 |  580566 | 330032224L | LIEU DIT TERRASSON                                    | 33003    | -
 RAN | 33003 |  580575 | 330032224V | PLACE DE LA LIBERATION                                | 33003    | -
 RAN | 33003 |  580611 | 3300322277 | RUE DES HERONS                                        | 33003    | -
 RAN | 33003 |  580628 | 330032227U | LOTISSEMENT JARDIN DU PRIEURE                         | 33003    | -
 RAN | 33003 |  580657 | 330032229Y | RUE DU TARREY                                         | 33003    | -
 RAN | 33003 |  580662 | 33003222A6 | RESIDENCE LES ERABLES                                 | 33003    | -
 RAN | 33003 |  580664 | 33003222A9 | LIEU DIT L OEIL DU PAS                                | 33003    | -
 RAN | 33003 |  580667 | 33003222AB | LIEU DIT LES ARCADES                                  | 33003    | -
 RAN | 33003 | 2856404 | 33003222BA | CLOS DES CHANTERELLES                                 | 33003    | -
 RAN | 33003 | 2864726 | 33003222BE | RUE DE L AVENIR                                       | 33003    | -
 RAN | 33003 | 3968980 | 3300322BGA | RUE PIERRE DE RONSARD                                 | 33003    | -
 RAN | 33003 | 4172506 | 3300322C9A | LIEU DIT PLANCAT                                      | 33003    | -
 RAN | 33003 | 4199608 | 3300322CG3 | IMPASSE DU MARECHAL FOCH                              | 33003    | -
 RAN | 33003 | 4222904 | 3300322CHE | IMPASSE DE LA LIBERATION                              | 33003    | -
 RAN | 33003 | 4229020 | 3300322CHZ | RUE DES CIGOGNES                                      | 33003    | -
 RAN | 33003 | 4276291 | 3300322CLG | RUE PIERRE MONIMEAU                                   | 33003    | -
 RAN | 33003 | 4315002 | 3300322E3Z | CHEMIN DU COUDE                                       | 33003    | -
 RAN | 33003 | 4321892 | 3300322E4E | RUE D ORION                                           | 33003    | -
 RAN | 33003 | 4333382 | 3300322EE4 | RUE CHANTE ALOUETTE                                   | 33003    | -
 RAN | 33003 | 4343989 | 3300322EE7 | RUE LOUIS BRAILLE                                     | 33003    | -
 RAN | 33003 | 4359401 | 3300322EEG | RUE MAX LINDER                                        | 33003    | -
 RAN | 33003 | 4359402 | 3300322EEH | RUE GUSTAVE EIFFEL                                    | 33003    | -
 RAN | 33003 | 4359403 | 3300322EEI | RUE LOUIS JOUVET                                      | 33003    | -
 RAN | 33003 | 4359404 | 3300322EEL | RUE ROGER SALENGRO                                    | 33003    | -
 RAN | 33003 | 4359405 | 3300322EEM | RUE MARCEL PALACIN                                    | 33003    | -
 RAN | 33003 | 4359406 | 3300322EEN | RUE LAZARRE PONTICELLI                                | 33003    | -
 RAN | 33003 | 4359407 | 3300322EEP | RUE LEO GUILLAUME                                     | 33003    | -
 RAN | 33003 | 4376865 | 3300322EM6 | RUE DU CHENE VERT PROLONGEE                           | 33003    | -
 RAN | 33003 | 4381360 | 3300322ERE | RUE DES CHANTERELLES                                  | 33003    | -
 RAN | 33003 | 4381675 | 3300322ERA | RUE ROGER COUDERC                                     | 33003    | -
 RAN | 33003 | 4381677 | 3300322ERC | RUE SIMONE SIGNORET                                   | 33003    | -
 RAN | 33003 | 4382756 | 3300322ESE | RUE JACQUELINE AURIOL                                 | 33003    | -
 RAN | 33003 | 4382757 | 3300322ESG | RUE ALBERT CAMUS                                      | 33003    | -
 RAN | 33003 | 4388336 | 3300322EV2 | RUE MARGUERITE DURAS                                  | 33003    | -
 RAN | 33003 | 4388337 | 3300322EV3 | RUE PIERRE BEREGOVOY                                  | 33003    | -
 RAN | 33003 | 4388338 | 3300322EV4 | RUE NELSON MANDELA                                    | 33003    | -
 RAN | 33003 | 4388339 | 3300322EV6 | RUE DJANGO REINHARDT                                  | 33003    | -
 RAN | 33003 | 4388340 | 3300322EV7 | RUE BORIS VIAN                                        | 33003    | -
 RAN | 33003 | 4388341 | 3300322EV9 | RUE COLUCHE                                           | 33003    | -
 RAN | 33003 | 4388369 | 3300322EVA | RUE LOUIS MASSINA                                     | 33003    | -
 RAN | 33003 | 4484299 | 3300322GSC | ALLEE JACQUES DE PONTAC                               | 33003    | -
 RAN | 33003 | 4496893 | 3300322GU7 | LOTISSEMENT LE MOULIN DU GUA                          | 33003    | -
 RAN | 33003 | 4508398 | 3300322GYA | RUE PAUL RAMADIER                                     | 33003    | -
 RAN | 33003 | 4515773 | 3300322GYY | RUE DES VERGERS                                       | 33003    | -
 RAN | 33003 | 4515896 | 3300322GYZ | RUE DES MURIERS                                       | 33003    | -
 RAN | 33003 | 4515897 | 3300322GZ2 | RUE DE L AUBEPINE                                     | 33003    | -
 RAN | 33003 | 4538646 | 3300322HA6 | IMPASSE DES OLIVIERS                                  | 33003    | -
 RAN | 33003 | 4538683 | 3300322HA7 | RUE PIERRE ALBALADEJO                                 | 33003    | -
 RAN | 33004 |  580693 | 3300422226 | CHATEAU SAINTE BARBE                                  | 33004    | -
 RAN | 33004 |  580695 | 3300422227 | GARE DE LA CHAPELLE                                   | 33004    | -
 RAN | 33004 |  580699 | 330042222B | LIEU DIT LE CAMUS                                     | 33004    | -
 RAN | 33004 |  580704 | 330042222I | LIEU DIT LA DONNE                                     | 33004    | -
 RAN | 33004 |  580708 | 330042222M | LIEU DIT LA SOUBRANTE                                 | 33004    | -
 RAN | 33004 |  580712 | 330042222R | LIEU DIT LE MARQUIS                                   | 33004    | -
 RAN | 33004 |  580713 | 330042222S | CHEMIN D IZARDS                                       | 33004    | -
 RAN | 33004 |  580715 | 330042222U | LIEU DIT MOUTCHIC                                     | 33004    | -
 RAN | 33004 |  580717 | 330042222X | LIEU DIT TILLEDE                                      | 33004    | -
 RAN | 33004 |  580719 | 330042222Z | VILLA 7                                               | 33004    | -
 RAN | 33004 |  580721 | 3300422233 | PORT AUTONOME                                         | 33004    | -
 RAN | 33004 |  580755 | 330042224B | RUE MARCONI                                           | 33004    | -
 RAN | 33004 |  580775 | 3300422262 | RUE PIERRE BEREGOVOY                                  | 33004    | -
 RAN | 33004 | 2666973 | 3300422269 | RUE DES FRERES DEVES                                  | 33004    | -
 RAN | 33004 | 3486172 | 330042226E | ALLEE DES FRESNES                                     | 33004    | -
 RAN | 33004 | 4174708 | 33004223SN | RUE DE LA DEPORTATION                                 | 33004    | -
 RAN | 33004 | 4174709 | 33004223SP | RUE DENISE BOUCHON                                    | 33004    | -
 RAN | 33004 | 4174734 | 33004223T2 | LIEU DIT LES CHARMILLES                               | 33004    | -
 RAN | 33004 | 4343919 | 330042243N | PLACE ESCARRAGUEL                                     | 33004    | -
