 db  | insee |                 name                  | idvoie  |    cea     | l5_insee | delta 
-----+-------+---------------------------------------+---------+------------+----------+-------
 BAN | 01187 | LE CHENET                             |         |            | 01187    | !
 RAN | 01187 | LE CHENET                             | 4310144 | 011762223I | 01176    | !
 BAN | 01204 | LE VILLAGE                            |         |            | 01204    | !
 RAN | 01204 | LE VILLAGE                            |   10906 | 0130022223 | 01300    | !
 BAN | 01204 | MOULIN DE CHARIX                      |         |            | 01204    | !
 RAN | 01204 | MOULIN DE CHARIX                      |   10909 | 0130022227 | 01300    | !
 RAN | 01204 | MOULIN DE CHARIX                      |    7368 | 012042222B | 01204    | !
 BAN | 01450 | LA MORENE                             |         |            | 01450    | !
 RAN | 01450 | LA MORENE                             |    9016 | 014502222C | 01253    | !
 BAN | 02053 | RUE PRINCIPALE                        |         |            | 02053    | !
 RAN | 02053 | RUE PRINCIPALE                        | 2836932 | 026692222X | 02669    | !
 RAN | 02053 | RUE PRINCIPALE                        |   17463 | 0205322239 | 02053    | !
 BAN | 02458 | LES TOURNEUX                          |         |            | 02458    | !
 RAN | 02458 | LES TOURNEUX                          |   22620 | 023252222C | 02325    | !
 RAN | 02458 | LES TOURNEUX                          | 4178350 | 024582229L | 02458    | !
 BAN | 04023 | LE GAINE                              |         |            | 04023    | !
 RAN | 04023 | LE GAINE                              |   60452 | 040232222H | 04165    | !
 BAN | 04023 | LENGOUN                               |         |            | 04023    | !
 RAN | 04023 | LENGOUN                               |   60455 | 040232222L | 04165    | !
 BAN | 04049 | RUE PIERRE CURIE                      |         |            | 04049    | !
 RAN | 04049 | RUE PIERRE CURIE                      |   63201 | 04049222BM | 04920    | !
 BAN | 04108 | LES BELLOIRS                          |         |            | 04108    | !
 RAN | 04108 | LES BELLOIRS                          |   55763 | 0410822223 | 04056    | !
 BAN | 04120 | LE VILLAGE                            |         |            | 04120    | !
 RAN | 04120 | LE VILLAGE                            |   57306 | 0410022223 | 04100    | !
 RAN | 04120 | LE VILLAGE                            |   58557 | 0412022223 | 04120    | !
 BAN | 05061 | RUE PRE MONGIL                        |         |            | 05061    | !
 RAN | 05061 | RUE PRE MONGIL                        |   66059 | 05061222SV | 05125    | !
 BAN | 05139 | LES BLACHOUS                          |         |            | 05139    | !
 RAN | 05139 | LES BLACHOUS                          | 4266277 | 0504222226 | 05042    | !
 BAN | 05139 | MALMORT                               |         |            | 05139    | !
 RAN | 05139 | MALMORT                               | 3374585 | 051382222U | 05138    | !
 BAN | 05139 | RUE CENTRALE                          |         |            | 05139    | !
 RAN | 05139 | RUE CENTRALE                          | 4178422 | 050022223N | 05002    | !
 BAN | 05139 | RUE DE COUINE                         |         |            | 05139    | !
 RAN | 05139 | RUE DE COUINE                         | 4178421 | 050022223M | 05002    | !
 BAN | 05139 | RUE DE LA COMBE                       |         |            | 05139    | !
 RAN | 05139 | RUE DE LA COMBE                       | 4178428 | 050022223V | 05002    | !
 BAN | 05139 | RUE DE LA FORGE                       |         |            | 05139    | !
 RAN | 05139 | RUE DE LA FORGE                       | 4178424 | 050022223R | 05002    | !
 BAN | 05139 | RUE DE LA PISCINE                     |         |            | 05139    | !
